SegmentID	Chromosome	Start	End	n_raw_regions
169	15	20307869	21982746	4
170	15	22038880	22138119	1
171	15	22163893	32511475	8
172	15	32523241	32594902	1
173	15	32605086	100282819	46
174	16	28087	14817706	8
175	16	14956177	14988855	1
176	16	15039224	33875313	24
177	16	34095229	34976429	5
178	16	45058242	54336421	18
179	16	54354643	54379834	1
180	16	54390012	68679377	16
181	16	68710277	68751390	1
182	16	68838368	69397102	3
183	16	69417987	69744010	1
184	16	69763173	88690571	15
185	17	10999	390571	3
186	17	403833	446414	2
187	17	451258	461603	2
188	17	465054	974692	1
189	17	984101	1003742	1
190	17	1008443	1536140	6
191	17	1542118	1560766	1
192	17	1562322	1703117	1
193	17	1703729	1713758	1
194	17	1718892	1845756	1
195	17	1859252	1859812	1
196	17	1860983	1881747	2
197	17	1890246	2286311	3
198	17	2286862	2330659	1
199	17	2333732	2343255	1
200	17	2361350	18868037	21
201	17	19083766	20521986	5
202	17	20569693	20596699	1
203	17	20618474	21442476	6
204	17	21627596	22142513	2
205	17	22315936	22324326	1
206	17	22399576	27351012	36
207	17	27364248	27450834	1
208	17	27463558	35067992	43
209	17	35076296	35282086	1
210	17	35286565	35427554	3
211	17	35444422	40926154	24
212	17	41011530	41494331	3
213	17	41527705	41706870	3
214	17	41983407	42049540	1
215	17	42161364	42873571	3
216	17	42975134	43019545	1
217	17	43036086	60196060	98
218	17	60204302	60347930	1
219	17	60360566	77432294	57
220	17	77442683	77503685	2
221	17	77535412	78653545	4
222	18	4316	76110964	56
223	19	8246	232080	1
224	19	232836	236846	1
225	19	239700	3342864	5
226	19	3363749	20383210	33
227	19	20422576	20493401	1
228	19	20552279	24157855	9
229	19	32545047	34430432	4
230	19	34467144	56795493	33
231	19	56816785	56859204	1
232	19	56864309	63784327	16
233	20	8747	12478772	15
234	20	12495273	28266113	21
235	20	29306447	40052114	28
236	20	40075620	62379059	47
237	21	9896630	10198129	1
238	21	13334960	13435755	1
239	21	13461550	13635227	1
240	21	13660680	14258259	1
241	21	14294323	14314039	1
242	21	14334542	46914686	38
243	22	134662	241255	1
244	22	246150	15013982	2
245	22	15270151	15403609	1
246	22	15433500	22665928	17
247	22	22672513	22714749	3
248	22	22725750	24228038	6
249	22	24263116	37678070	13
250	22	37683612	37705310	1
251	22	37717564	49509094	17
252	23	3229	45135	1
253	23	96116	214107	1
254	23	268930	343473	2
255	23	354639	385792	2
256	23	422315	524509	2
257	23	959048	1398694	2
258	23	1672003	1706462	2
259	23	2702388	2969155	1
260	23	2979705	26516197	8
261	23	26537079	26627128	1
262	23	26666781	52769796	8
263	23	52775986	52832444	1
264	23	52844235	66511655	3
265	23	66527817	88259698	7
266	23	88434081	88986061	1
267	23	89001120	90763396	5
268	23	90837054	91203848	2
269	23	91234699	91344716	1
270	23	91365063	92103804	4
271	23	92209094	152935130	14
272	23	152994680	154492924	6
